숙소 링크,평점,후기 개수,이미지 파일
https://www.airbnb.co.kr/rooms/1256913692924077782?search_mode=regular_search&adults=1&check_in=2025-05-11&check_out=2025-05-16&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3LXafxJA7VbJI1W&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,5.0,23.0,airbnb_images\숙소_48.jpg
https://www.airbnb.co.kr/rooms/1375778256993933737?search_mode=regular_search&adults=1&check_in=2025-05-10&check_out=2025-05-15&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3EKDdeCKK8or3PH&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,,2.0,airbnb_images\숙소_49.jpg
https://www.airbnb.co.kr/rooms/906738637760984695?search_mode=regular_search&adults=1&check_in=2025-08-30&check_out=2025-09-04&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3fTEwn_pgFlTB21&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.96,102.0,airbnb_images\숙소_50.jpg
https://www.airbnb.co.kr/rooms/52594236?search_mode=regular_search&adults=1&check_in=2025-04-21&check_out=2025-04-26&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P30TTHxtmFtkUSkl&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.69,169.0,airbnb_images\숙소_51.jpg
https://www.airbnb.co.kr/rooms/1272068567567088135?search_mode=regular_search&adults=1&check_in=2025-05-05&check_out=2025-05-10&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3jVPjuGetk_uzU-&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,5.0,23.0,airbnb_images\숙소_52.jpg
https://www.airbnb.co.kr/rooms/1317278108495611042?search_mode=regular_search&adults=1&check_in=2025-05-11&check_out=2025-05-16&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3lCeucMiY2eSBdN&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,5.0,6.0,airbnb_images\숙소_53.jpg
https://www.airbnb.co.kr/rooms/732267603314454632?search_mode=regular_search&adults=1&check_in=2025-04-20&check_out=2025-04-25&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3VCl8LO_8JgeaYG&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.97,151.0,airbnb_images\숙소_54.jpg
https://www.airbnb.co.kr/rooms/1228974547399833303?search_mode=regular_search&adults=1&check_in=2025-06-21&check_out=2025-06-26&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3If4jKG0hHEzQCW&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,5.0,31.0,N/A
https://www.airbnb.co.kr/rooms/1305273861684182884?search_mode=regular_search&adults=1&check_in=2025-08-17&check_out=2025-08-22&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P34rFCYDyY-Nt9dA&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.82,22.0,airbnb_images\숙소_56.jpg
https://www.airbnb.co.kr/rooms/1383157908346665237?search_mode=regular_search&adults=1&check_in=2025-05-12&check_out=2025-05-17&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3Oz2yFHBUgY_rcV&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,,1.0,airbnb_images\숙소_57.jpg
